id,branch_code,official_name,display_name,search_group
297,0314637210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
298,0314661210,Mechanical Engineering,Mechanical Engineering,
299,0314692010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
300,0314699510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
301,0314719110,Civil Engineering,Civil Engineering,
302,0314724510,Computer Engineering,Computer Engineering,
303,0314724610,Information Technology,Information Technology,
304,0314729310,Electrical Engineering,Electrical Engineering,
305,0314791710,Data Science,Data Science,
306,0314792110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
307,0314824510,Computer Engineering,Computer Engineering,
308,0314824610,Information Technology,Information Technology,
309,0314825210,Cyber Security,Cyber Security,
310,0314837210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
311,0314837810,Electronics Engineering ( VLSI Design and Technology),Electronics Engineering ( VLSI Design and Technology),
312,0314890010,Electronics and Computer Science,Electronics and Computer Science,
313,0314892810,Electronics and Communication(Advanced Communication Technology),Electronics and Communication(Advanced Communication Technology),
314,0314899510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
315,0315419110,Civil Engineering,Civil Engineering,
316,0315424510,Computer Engineering,Computer Engineering,
317,0315424610,Information Technology,Information Technology,
318,0315460210,Automobile Engineering,Automobile Engineering,
319,0315461210,Mechanical Engineering,Mechanical Engineering,
320,0315491110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
321,0315491210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
322,0317519110,Civil Engineering,Civil Engineering,
323,0317524510,Computer Engineering,Computer Engineering,
324,0317524610,Information Technology,Information Technology,
325,0317529310,Electrical Engineering,Electrical Engineering,
326,0317537210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
327,0317546110,Bio Medical Engineering,Bio Medical Engineering,
328,0317550710,Chemical Engineering,Chemical Engineering,
329,0317561210,Mechanical Engineering,Mechanical Engineering,
330,0317591110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
331,0317591210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
332,0317619110,Civil Engineering,Civil Engineering,
333,0317624510,Computer Engineering,Computer Engineering,
334,0317624610,Information Technology,Information Technology,
335,0317625310,Internet of Things (IoT),Internet of Things (IoT),
336,0317625910,Mechanical and Mechatronics Engineering (Additive Manufacturing),Mechanical and Mechatronics Engineering (Additive Manufacturing),
337,0317637210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
338,0317661210,Mechanical Engineering,Mechanical Engineering,
339,0317690010,Electronics and Computer Science,Electronics and Computer Science,
340,0317691010,Computer Science and Engineering(Cyber Security),Computer Science and Engineering(Cyber Security),
341,0317692110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
342,0317699510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
343,0318224510,Computer Engineering,Computer Engineering,
344,0318224610,Information Technology,Information Technology,
345,0318237210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
346,0318250710,Chemical Engineering,Chemical Engineering,
347,0318299510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
348,0318319110,Civil Engineering,Civil Engineering,
349,0318324510,Computer Engineering,Computer Engineering,
350,0318324610,Information Technology,Information Technology,
351,0318337210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
352,0318361210,Mechanical Engineering,Mechanical Engineering,
353,0318391110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
354,0318392010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
355,0318424510,Computer Engineering,Computer Engineering,
356,0318461210,Mechanical Engineering,Mechanical Engineering,
357,0318490010,Electronics and Computer Science,Electronics and Computer Science,
358,0318499510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
359,0318524510,Computer Engineering,Computer Engineering,
360,0318524610,Information Technology,Information Technology,
361,0318537210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
362,0318590010,Electronics and Computer Science,Electronics and Computer Science,
363,0318591610,Automation and Robotics,Automation and Robotics,
364,0318599510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
365,0318719110,Civil Engineering,Civil Engineering,
366,0318724510,Computer Engineering,Computer Engineering,
367,0318724610,Information Technology,Information Technology,
368,0318737210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
369,0318750710,Chemical Engineering,Chemical Engineering,
370,0318761210,Mechanical Engineering,Mechanical Engineering,
371,0318791810,Civil and infrastructure Engineering,Civil and infrastructure Engineering,
372,0318799510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
373,0318824510,Computer Engineering,Computer Engineering,
374,0318824610,Information Technology,Information Technology,
375,0318826310,Artificial Intelligence (AI) and Data Science,Artificial Intelligence (AI) and Data Science,
376,0318924510,Computer Engineering,Computer Engineering,
377,0318924610,Information Technology,Information Technology,
378,0318937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
379,0318946610,Instrumentation Engineering,Instrumentation Engineering,
380,0318950710,Chemical Engineering,Chemical Engineering,
381,0318961210,Mechanical Engineering,Mechanical Engineering,
382,0319019110,Civil Engineering,Civil Engineering,
383,0319024510,Computer Engineering,Computer Engineering,
384,0319024610,Information Technology,Information Technology,
385,0319026310,Artificial Intelligence (AI) and Data Science,Artificial Intelligence (AI) and Data Science,
386,0319037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
387,0319037610,Electronics Engineering,Electronics Engineering,
388,0319061210,Mechanical Engineering,Mechanical Engineering,
389,0319062410,Mechatronics Engineering,Mechatronics Engineering,
390,0319224510,Computer Engineering,Computer Engineering,
391,0319229310,Electrical Engineering,Electrical Engineering,
392,0319261210,Mechanical Engineering,Mechanical Engineering,
393,0319291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
394,0319292010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
395,0319299510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
396,0319324510,Computer Engineering,Computer Engineering,
397,0319324610,Information Technology,Information Technology,
398,0319337210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
399,0319350710,Chemical Engineering,Chemical Engineering,
400,0319361210,Mechanical Engineering,Mechanical Engineering,
401,0319392110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
402,0319419110,Civil Engineering,Civil Engineering,
403,0319424510,Computer Engineering,Computer Engineering,
404,0319424610,Information Technology,Information Technology,
405,0319437210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
406,0319437810,Electronics Engineering ( VLSI Design and Technology),Electronics Engineering ( VLSI Design and Technology),
407,0319461210,Mechanical Engineering,Mechanical Engineering,
408,0319491210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
409,0319499510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
410,0319624510,Computer Engineering,Computer Engineering,
411,0319629310,Electrical Engineering,Electrical Engineering,
412,0319637210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
413,0319661210,Mechanical Engineering,Mechanical Engineering,
414,0319691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
415,0319691210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
416,0319692010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
417,0319724510,Computer Engineering,Computer Engineering,
418,0319724610,Information Technology,Information Technology,
419,0319729310,Electrical Engineering,Electrical Engineering,
420,0319737210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
421,0319761210,Mechanical Engineering,Mechanical Engineering,
422,0319824210,Computer Science and Engineering,Computer Science and Engineering,
423,0319824510,Computer Engineering,Computer Engineering,
424,0319824610,Information Technology,Information Technology,
425,0319861210,Mechanical Engineering,Mechanical Engineering,
426,0319899510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
427,0319924510,Computer Engineering,Computer Engineering,
428,0319924610,Information Technology,Information Technology,
429,0319926310,Artificial Intelligence (AI) and Data Science,Artificial Intelligence (AI) and Data Science,
430,0319937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
431,0319961210,Mechanical Engineering,Mechanical Engineering,
432,0319991210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
433,0319992010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
434,0319992110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
435,0320024610,Information Technology,Information Technology,
436,0320029310,Electrical Engineering,Electrical Engineering,
437,0320037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
438,0320050710,Chemical Engineering,Chemical Engineering,
439,0320061210,Mechanical Engineering,Mechanical Engineering,
440,0320091110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
441,0320119110,Civil Engineering,Civil Engineering,
442,0320124510,Computer Engineering,Computer Engineering,
443,0320161210,Mechanical Engineering,Mechanical Engineering,
444,0320190010,Electronics and Computer Science,Electronics and Computer Science,
445,0320199510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
446,0320224510,Computer Engineering,Computer Engineering,
447,0320260210,Automobile Engineering,Automobile Engineering,
448,0320261210,Mechanical Engineering,Mechanical Engineering,
449,0320290010,Electronics and Computer Science,Electronics and Computer Science,
450,0320324510,Computer Engineering,Computer Engineering,
451,0320324610,Information Technology,Information Technology,
452,0320329310,Electrical Engineering,Electrical Engineering,
453,0320337210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
454,0320390010,Electronics and Computer Science,Electronics and Computer Science,
455,0320424510,Computer Engineering,Computer Engineering,
456,0320424610,Information Technology,Information Technology,
457,0320429310,Electrical Engineering,Electrical Engineering,
458,0320437210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
459,0320461210,Mechanical Engineering,Mechanical Engineering,
460,0320624510,Computer Engineering,Computer Engineering,
461,0320629310,Electrical Engineering,Electrical Engineering,
462,0320656610,Computer Science,Computer Science,
463,0320661210,Mechanical Engineering,Mechanical Engineering,
464,0320662410,Mechatronics Engineering,Mechatronics Engineering,
465,0320691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
466,0320724510,Computer Engineering,Computer Engineering,
467,0320724610,Information Technology,Information Technology,
468,0320737210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
469,0320760210,Automobile Engineering,Automobile Engineering,
470,0320761210,Mechanical Engineering,Mechanical Engineering,
471,0320790010,Electronics and Computer Science,Electronics and Computer Science,
472,0320824510,Computer Engineering,Computer Engineering,
473,0320824610,Information Technology,Information Technology,
474,0320837210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
475,0320861210,Mechanical Engineering,Mechanical Engineering,
476,0320924510,Computer Engineering,Computer Engineering,
477,0320924610,Information Technology,Information Technology,
478,0320937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
479,0320999510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
480,0321024510,Computer Engineering,Computer Engineering,
481,0321024610,Information Technology,Information Technology,
482,0321037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
483,0321124510,Computer Engineering,Computer Engineering,
484,0321124610,Information Technology,Information Technology,
485,0321137210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
486,0321161210,Mechanical Engineering,Mechanical Engineering,
487,0321190010,Electronics and Computer Science,Electronics and Computer Science,
488,0321192010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
489,0321192110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
490,0321199510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
491,0321219110,Civil Engineering,Civil Engineering,
492,0321224510,Computer Engineering,Computer Engineering,
493,0321424510,Computer Engineering,Computer Engineering,
494,0321424610,Information Technology,Information Technology,
495,0321437210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
496,0321492010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,
497,0321524510,Computer Engineering,Computer Engineering,
498,0321619110,Civil Engineering,Civil Engineering,
499,0321624510,Computer Engineering,Computer Engineering,
500,0321637210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
501,0321650710,Chemical Engineering,Chemical Engineering,
502,0321661210,Mechanical Engineering,Mechanical Engineering,
503,0321691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
504,0321719110,Civil Engineering,Civil Engineering,
505,0321724510,Computer Engineering,Computer Engineering,
506,0321737210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
507,0321761210,Mechanical Engineering,Mechanical Engineering,
508,0321791610,Automation and Robotics,Automation and Robotics,
509,0321819110,Civil Engineering,Civil Engineering,
510,0321824510,Computer Engineering,Computer Engineering,
511,0321824610,Information Technology,Information Technology,
512,0321861210,Mechanical Engineering,Mechanical Engineering,
513,0321890010,Electronics and Computer Science,Electronics and Computer Science,
514,0321891210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
515,0321892110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
516,0321919110,Civil Engineering,Civil Engineering,
517,0321924510,Computer Engineering,Computer Engineering,
518,0321924610,Information Technology,Information Technology,
519,0321929310,Electrical Engineering,Electrical Engineering,
520,0321937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
521,0321961210,Mechanical Engineering,Mechanical Engineering,
522,0321991110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
523,0322024510,Computer Engineering,Computer Engineering,
524,0322024610,Information Technology,Information Technology,
525,0322025210,Cyber Security,Cyber Security,
526,0322037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
527,0322092110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
528,0322119110,Civil Engineering,Civil Engineering,
529,0322124510,Computer Engineering,Computer Engineering,
530,0322129310,Electrical Engineering,Electrical Engineering,
531,0322137210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
532,0322161210,Mechanical Engineering,Mechanical Engineering,
533,0322191110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
534,0322219110,Civil Engineering,Civil Engineering,
535,0322224510,Computer Engineering,Computer Engineering,
536,0322224610,Information Technology,Information Technology,
537,0322229310,Electrical Engineering,Electrical Engineering,
538,0322260210,Automobile Engineering,Automobile Engineering,
539,0322261210,Mechanical Engineering,Mechanical Engineering,
540,0322291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
541,0322319110,Civil Engineering,Civil Engineering,
542,0322324510,Computer Engineering,Computer Engineering,
543,0322324610,Information Technology,Information Technology,
544,0322361210,Mechanical Engineering,Mechanical Engineering,
545,0322390010,Electronics and Computer Science,Electronics and Computer Science,
546,0322392610,Electrical and Computer Engineering,Electrical and Computer Engineering,
547,0327724510,Computer Engineering,Computer Engineering,
548,0327724610,Information Technology,Information Technology,
549,0327735610,Electrical Engg[Electronics and Power],Electrical Engg[Electronics and Power],
550,0327761510,Mechanical & Automation Engineering,Mechanical & Automation Engineering,
551,0327793410,Civil Engineering and Planning,Civil Engineering and Planning,
552,0327793510,Electronics and Biomedical Engineering,Electronics and Biomedical Engineering,
553,0335119110,Civil Engineering,Civil Engineering,
554,0335124510,Computer Engineering,Computer Engineering,
555,0335191110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
556,0342319110,Civil Engineering,Civil Engineering,
557,0342324510,Computer Engineering,Computer Engineering,
558,0342324610,Information Technology,Information Technology,
559,0342337210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
560,0342390010,Electronics and Computer Science,Electronics and Computer Science,
561,0343619110,Civil Engineering,Civil Engineering,
562,0343624510,Computer Engineering,Computer Engineering,
563,0343629310,Electrical Engineering,Electrical Engineering,
564,0343691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
565,0343919110,Civil Engineering,Civil Engineering,
566,0343924510,Computer Engineering,Computer Engineering,
567,0343929310,Electrical Engineering,Electrical Engineering,
568,0343961210,Mechanical Engineering,Mechanical Engineering,
569,0343990010,Electronics and Computer Science,Electronics and Computer Science,
570,0343991110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Computer Science and Engineering(Artificial Intelligence and Machine Learning),
571,0343991210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
572,0344019110,Civil Engineering,Civil Engineering,
573,0344024510,Computer Engineering,Computer Engineering,
574,0344037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
575,0344061210,Mechanical Engineering,Mechanical Engineering,
576,0344519110,Civil Engineering,Civil Engineering,
577,0344524510,Computer Engineering,Computer Engineering,
578,0344537210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
579,0344561210,Mechanical Engineering,Mechanical Engineering,
580,0344719110,Civil Engineering,Civil Engineering,
581,0344724510,Computer Engineering,Computer Engineering,
582,0344761210,Mechanical Engineering,Mechanical Engineering,
583,0346019110,Civil Engineering,Civil Engineering,
