academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,144,0313924510,Computer Engineering,180,117,0,27,36,1,18,0313924511,9,FE_2024_SeatMatrix.pdf,81,false,
2024-25,FE,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,144,0313924610,Information Technology,180,117,0,27,36,1,18,0313924611,9,FE_2024_SeatMatrix.pdf,82,false,
2024-25,FE,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,0313937210,Electronics and Telecommunication Engg,120,78,0,18,24,1,12,0313937211,6,FE_2024_SeatMatrix.pdf,83,false,
2024-25,FE,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,48,0313946110,Bio Medical Engineering,60,39,0,9,12,0,6,0313946111,3,FE_2024_SeatMatrix.pdf,84,false,
2024-25,FE,03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,0313990010,Electronics and Computer Science,120,78,0,18,24,1,12,0313990011,6,FE_2024_SeatMatrix.pdf,85,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,180,0314824510,Computer Engineering,180,75,92,13,0,0,0,0314824511,9,FE_2024_SeatMatrix.pdf,86,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,120,0314824610,Information Technology,120,50,61,9,0,0,0,0314824611,6,FE_2024_SeatMatrix.pdf,87,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,60,0314825210,Cyber Security,60,25,31,4,0,0,0,0314825211,3,FE_2024_SeatMatrix.pdf,88,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,60,0314837210,Electronics and Telecommunication Engg,60,25,31,4,0,0,0,0314837211,3,FE_2024_SeatMatrix.pdf,89,false,
2024-25,FE,03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi(Jain),Un-Aided  Linguistic Minority - Gujarathi(Jain),true,60,0314837810,Electronics Engineering ( VLSI Design and,60,25,31,4,0,0,0,0314837811,3,FE_2024_SeatMatrix.pdf,90,false,
